locus,CHR,START,STOP
1,1,1,1000001
2,1,1000001,2000001
3,1,2000001,3000001
4,1,3000001,4000001
5,1,4000001,5000001
6,1,5000001,6000001
7,1,6000001,7000001
8,1,7000001,8000001
9,1,8000001,9000001
10,1,9000001,10000001
11,1,10000001,11000001
12,1,11000001,12000001
13,1,12000001,13000001
14,1,13000001,14000001
15,1,14000001,15000001
16,1,15000001,16000001
17,1,16000001,17000001
18,1,17000001,18000001
19,1,18000001,19000001
20,1,19000001,20000001
21,1,20000001,21000001
22,1,21000001,22000001
23,1,22000001,23000001
24,1,23000001,24000001
25,1,24000001,25000001
26,1,25000001,26000001
27,1,26000001,27000001
28,1,27000001,28000001
29,1,28000001,29000001
30,1,29000001,30000001
31,1,30000001,31000001
32,1,31000001,32000001
33,1,32000001,33000001
34,1,33000001,34000001
35,1,34000001,35000001
36,1,35000001,36000001
37,1,36000001,37000001
38,1,37000001,38000001
39,1,38000001,39000001
40,1,39000001,40000001
41,1,40000001,41000001
42,1,41000001,42000001
43,1,42000001,43000001
44,1,43000001,44000001
45,1,44000001,45000001
46,1,45000001,46000001
47,1,46000001,47000001
48,1,47000001,48000001
49,1,48000001,49000001
50,1,49000001,50000001
51,1,50000001,51000001
52,1,51000001,52000001
53,1,52000001,53000001
54,1,53000001,54000001
55,1,54000001,55000001
56,1,55000001,56000001
57,1,56000001,57000001
58,1,57000001,58000001
59,1,58000001,59000001
60,1,59000001,60000001
61,1,60000001,61000001
62,1,61000001,62000001
63,1,62000001,63000001
64,1,63000001,64000001
65,1,64000001,65000001
66,1,65000001,66000001
67,1,66000001,67000001
68,1,67000001,68000001
69,1,68000001,69000001
70,1,69000001,70000001
71,1,70000001,71000001
72,1,71000001,72000001
73,1,72000001,73000001
74,1,73000001,74000001
75,1,74000001,75000001
76,1,75000001,76000001
77,1,76000001,77000001
78,1,77000001,78000001
79,1,78000001,79000001
80,1,79000001,80000001
81,1,80000001,81000001
82,1,81000001,82000001
83,1,82000001,83000001
84,1,83000001,84000001
85,1,84000001,85000001
86,1,85000001,86000001
87,1,86000001,87000001
88,1,87000001,88000001
89,1,88000001,89000001
90,1,89000001,90000001
91,1,90000001,91000001
92,1,91000001,92000001
93,1,92000001,93000001
94,1,93000001,94000001
95,1,94000001,95000001
96,1,95000001,96000001
97,1,96000001,97000001
98,1,97000001,98000001
99,1,98000001,99000001
100,1,99000001,100000001
101,1,100000001,101000001
102,1,101000001,102000001
103,1,102000001,103000001
104,1,103000001,104000001
105,1,104000001,105000001
106,1,105000001,106000001
107,1,106000001,107000001
108,1,107000001,108000001
109,1,108000001,109000001
110,1,109000001,110000001
111,1,110000001,111000001
112,1,111000001,112000001
113,1,112000001,113000001
114,1,113000001,114000001
115,1,114000001,115000001
116,1,115000001,116000001
117,1,116000001,117000001
118,1,117000001,118000001
119,1,118000001,119000001
120,1,119000001,120000001
121,1,120000001,121000001
122,1,121000001,122000001
123,1,122000001,123000001
124,1,123000001,124000001
125,1,124000001,125000001
126,1,125000001,126000001
127,1,126000001,127000001
128,1,127000001,128000001
129,1,128000001,129000001
130,1,129000001,130000001
131,1,130000001,131000001
132,1,131000001,132000001
133,1,132000001,133000001
134,1,133000001,134000001
135,1,134000001,135000001
136,1,135000001,136000001
137,1,136000001,137000001
138,1,137000001,138000001
139,1,138000001,139000001
140,1,139000001,140000001
141,1,140000001,141000001
142,1,141000001,142000001
143,1,142000001,143000001
144,1,143000001,144000001
145,1,144000001,145000001
146,1,145000001,146000001
147,1,146000001,147000001
148,1,147000001,148000001
149,1,148000001,149000001
150,1,149000001,150000001
151,1,150000001,151000001
152,1,151000001,152000001
153,1,152000001,153000001
154,1,153000001,154000001
155,1,154000001,155000001
156,1,155000001,156000001
157,1,156000001,157000001
